,angle,lObjDetected,p1Detected,fObjDetected,p5Detected,rObjDetected,vlm_feedback,prev_action,action
115,-2.334192998,1,1,1,0,1,right,1,0
116,0.212313584,0,0,1,0,0,left,0,1
117,0.917758776,1,1,1,1,0,left,1,1
118,0.594100099,1,1,1,1,1,both,0,2
119,2.446112467,0,0,1,0,0,left,0,1
120,-1.314198576,0,0,0,1,1,none,1,1
121,0.899449073,1,1,0,0,0,none,0,2
122,1.291045804,0,1,1,1,0,both,0,2
123,-2.977653091,0,0,0,0,1,none,0,1
124,-0.63615201,0,1,0,0,0,none,2,0
125,-1.13454866,1,0,0,1,1,none,0,0
126,-2.851815706,1,1,1,1,0,left,1,1
127,-1.047996863,1,1,0,1,0,none,1,0
128,3.132766426,1,1,0,1,1,none,2,0
129,-1.065771906,1,0,0,1,1,none,1,0
130,2.81856936,0,0,0,1,1,none,0,0
131,-1.499474415,1,0,1,1,1,left,2,0
132,-2.882460395,0,1,1,1,0,right,1,0
133,-1.353359311,1,1,1,0,1,right,0,2
134,2.133210854,0,0,1,1,0,both,0,2
135,1.914446283,0,1,1,0,1,right,0,2
136,-1.501918739,0,0,1,1,1,both,2,0
137,-1.761959766,0,0,0,1,1,none,1,1
138,3.050293883,0,1,0,1,1,none,2,0
139,2.00387542,0,1,1,1,0,both,0,2
140,-0.413567582,0,0,1,1,1,left,2,0
141,1.169299816,0,0,0,0,1,none,0,0
142,-2.520275348,1,0,0,1,0,none,0,0
143,-2.381756129,1,1,0,1,1,none,1,0
144,1.038518681,1,0,0,0,1,none,2,0
145,-1.134886254,0,0,0,1,1,none,0,1
146,-0.899488499,0,0,0,1,1,none,2,0
147,-1.351641165,1,0,0,0,1,none,2,0
148,2.691365348,0,1,0,1,0,none,2,0
149,-1.30091934,1,0,1,1,0,right,0,2
150,-0.735584737,1,0,1,0,0,right,1,0
151,1.768214884,0,0,0,1,1,none,0,0
152,1.925082267,1,0,1,1,1,left,2,0
153,-2.451024825,1,0,0,1,0,none,0,0
154,2.862401587,1,0,1,0,0,right,1,0
155,3.104274241,0,1,0,0,1,none,1,0
156,-0.893604722,0,0,0,1,0,none,0,1
157,-3.113884146,1,0,1,1,1,right,0,2
158,-0.704289903,1,1,1,0,0,left,1,1
159,0.54013237,0,0,0,0,0,none,0,2
160,1.845633238,0,1,1,1,0,left,2,0
161,0.362527199,1,0,0,1,0,none,0,0
162,2.788548972,1,1,0,0,1,none,0,0
163,0.694427219,0,0,1,0,1,right,2,2
164,-0.211897415,0,0,0,1,1,none,1,0
165,-0.163003555,0,0,1,1,1,both,1,1
166,-3.029840509,1,0,1,0,1,left,2,0
167,0.236104019,0,0,1,0,1,both,2,2
168,3.10170196,0,0,0,0,1,none,1,0
169,-0.911668612,0,0,0,0,1,none,0,1
170,-0.361464485,1,0,0,0,1,none,2,0
171,1.155995213,0,0,1,0,1,both,0,2
172,-2.830646308,1,0,1,0,1,left,0,1
173,3.033187518,1,1,0,0,1,none,2,0
174,-1.051082593,1,0,1,0,0,right,2,2
175,3.045451808,1,0,0,0,1,none,1,0
176,-1.221207988,1,0,0,1,1,none,0,0
177,1.543096522,1,1,0,0,0,none,2,2
178,-1.636924469,1,1,1,0,1,both,0,1
179,-3.064392397,0,0,0,1,0,none,2,0
180,-0.413637332,0,0,1,1,1,left,1,1
181,1.910542036,0,1,0,0,0,none,0,2
182,-0.161030789,0,0,1,0,0,both,0,1
183,-0.23627786,1,1,0,1,0,none,0,0
184,0.674420962,0,1,0,1,0,none,0,0
185,1.272747292,0,1,0,0,1,none,2,0
186,0.594273161,1,1,0,1,0,none,2,0
187,-0.396027506,0,1,0,0,0,none,2,0
188,-1.577038346,1,0,0,0,0,none,2,0
189,-2.090340427,1,1,0,0,1,none,1,0
190,1.869468767,0,1,0,0,0,none,1,0
191,0.8929396,0,1,0,1,1,none,2,0
192,-0.517324172,0,1,0,1,0,none,2,0
193,0.923447504,1,0,0,1,1,none,2,0
194,0.924263989,1,1,0,1,1,none,0,0
195,0.681700688,1,0,1,1,0,right,2,2
196,1.101527677,1,1,1,0,0,both,0,2
197,1.770324616,1,0,0,0,1,none,0,0
198,0.097487794,0,0,1,0,0,left,2,0
199,-2.080546842,1,0,0,0,0,none,1,0
200,2.421129977,1,0,1,0,1,both,0,2
201,-0.70899648,1,0,0,1,1,none,2,0
202,-0.520165913,1,1,0,0,0,none,0,0
203,1.419002532,0,1,0,1,1,none,2,0
204,1.789421543,1,0,0,1,1,none,0,0
205,1.711246855,1,1,0,1,1,none,2,0
206,-2.385739329,1,1,0,1,0,none,0,0
207,-0.47402911,1,0,1,0,0,left,1,1
208,0.220967806,0,1,1,1,0,both,2,2
209,0.612259992,0,0,0,1,1,none,0,0
210,-0.691430931,0,1,0,0,1,none,0,0
211,0.275022907,0,1,1,1,0,left,1,1
212,0.296439394,0,1,0,1,1,none,1,0
213,0.474056582,1,0,1,1,1,left,1,1
214,3.01492395,0,1,0,0,1,none,2,0
215,-3.123344048,1,0,1,1,0,both,1,1
216,-0.619951561,1,1,1,1,1,both,1,1
217,-0.589967029,0,1,0,1,1,none,2,0
218,-0.072813773,1,0,1,1,0,both,0,1
219,-3.113699525,1,0,0,1,0,none,1,0
220,0.314097587,1,1,0,0,0,none,0,0
221,-2.089096009,1,0,0,1,0,none,2,0
222,1.755925855,1,1,0,1,0,none,1,0
223,-0.308713518,0,0,1,1,0,both,0,1
224,3.028971454,1,0,0,0,1,none,0,0
225,1.328023573,0,0,1,0,0,left,0,1
226,-0.497432961,1,0,0,1,1,none,1,0
227,-1.000161946,1,1,1,1,0,both,0,1
228,-1.150910556,0,1,1,0,1,left,1,1
229,1.708651608,1,1,0,1,0,none,1,0
230,3.090340678,0,0,1,0,0,right,2,2
231,-0.007160903,0,1,0,1,1,none,2,0
232,2.023575259,1,1,1,0,1,both,2,2
233,2.330355385,1,0,0,0,0,none,2,2
234,-2.817040448,0,0,1,0,0,right,0,2
235,-2.766899156,0,1,0,0,0,none,2,0
236,-2.069478109,1,1,1,1,1,left,1,1
237,0.439685693,0,1,0,0,1,none,0,0
238,2.175181684,0,1,0,0,1,none,2,0
239,-2.872418633,0,0,0,1,1,none,2,0
240,-0.764803922,0,1,0,0,1,none,1,0
241,1.581054308,1,0,0,1,1,none,2,0
242,-2.701685717,1,0,1,0,0,left,2,0
243,-0.030298905,0,0,1,1,0,both,0,1
244,-1.182474495,1,1,1,1,1,left,2,0
245,2.236128616,1,0,0,1,1,none,2,0
246,-1.019894986,0,1,0,1,0,none,2,0
247,0.749414923,1,0,0,0,0,none,0,2
248,-2.524700945,1,0,0,1,0,none,1,0
249,0.951860524,1,1,1,1,1,right,2,2
250,3.128621608,0,1,1,1,1,right,1,0
251,-1.90064055,0,1,0,0,1,none,1,0
252,-2.824260191,0,0,1,0,0,both,1,1
253,-2.006986345,0,1,1,0,1,both,1,1
254,-1.625410023,0,1,1,1,1,both,2,0
255,-2.300198364,0,0,0,1,1,none,1,1
256,-1.064327918,0,1,0,1,0,none,0,0
257,2.921048745,1,1,0,1,1,none,0,0
258,-2.0945727,1,1,0,0,1,none,0,0
259,-1.023283033,1,1,0,1,1,none,0,0
260,-2.880348421,1,1,0,1,1,none,0,0
261,1.862012479,0,1,0,1,0,none,0,0
262,2.550814992,1,1,0,1,1,none,1,0
263,0.69922937,1,0,0,1,0,none,0,0
264,-2.876251921,0,0,0,1,0,none,2,0
265,0.236367634,0,0,1,1,1,left,1,1
266,-0.809534994,1,0,0,0,0,none,1,0
267,1.666753568,1,1,1,0,0,left,0,1
268,2.486300244,1,1,1,1,1,right,2,2
269,3.014682748,0,0,0,0,0,none,2,2
270,-3.037959163,1,0,0,0,1,none,1,0
271,0.576667511,0,1,0,0,1,none,1,0
272,1.112119045,1,1,1,1,1,both,1,0
273,-1.506569433,1,1,1,1,1,both,0,1
274,0.781206126,1,0,0,1,0,none,2,0
275,2.675975075,0,0,1,1,1,both,1,0
276,0.060906602,1,1,1,1,0,right,0,2
277,2.310868801,0,1,0,0,0,none,0,2
278,-1.531712426,0,1,1,0,1,both,2,0
279,0.175214681,0,0,1,0,0,left,0,1
280,0.773793763,0,1,0,0,1,none,1,0
281,-1.323878565,0,1,1,0,1,both,1,1
282,-0.763519631,0,0,1,1,1,both,1,1
283,1.279187146,0,1,0,1,1,none,1,0
284,2.553600109,0,1,0,1,0,none,0,0
285,-1.163916414,0,0,0,0,0,none,0,1
286,-0.799155068,0,0,0,0,0,none,1,1
287,0.365166224,0,1,1,0,0,both,1,0
288,1.82916673,1,0,0,0,1,none,2,0
289,0.53209337,1,1,0,1,1,none,1,0
290,-2.608841442,1,0,1,1,1,both,0,1
291,1.79541109,1,1,1,1,0,both,1,0
292,-1.454662707,0,0,0,0,0,none,1,1
293,0.495919125,1,0,0,0,0,none,2,2
294,-1.618993667,0,1,0,1,0,none,1,0
295,-1.572013135,1,1,0,0,1,none,0,0
296,0.81148994,1,1,0,0,1,none,1,0
297,-2.017976864,1,0,1,1,1,left,1,1
298,0.140778699,1,0,1,1,0,left,2,0
299,0.064217277,1,0,0,1,0,none,2,0
300,1.131358761,1,1,0,1,1,none,1,0
301,0.881685181,0,0,0,1,0,none,0,0
302,-2.389795229,0,0,0,1,0,none,0,1
303,-0.778306005,1,0,0,0,1,none,2,0
304,1.455633346,0,0,0,1,1,none,0,0
305,1.595974726,0,0,1,1,1,left,0,1
306,-0.387886968,1,1,1,0,0,left,0,1
307,0.794349543,0,0,1,0,0,left,1,1
308,0.134194655,0,1,0,0,0,none,2,0
309,0.115801191,1,1,0,1,1,none,1,0
310,0.524895676,0,1,1,1,1,left,1,1
311,0.14256777,0,1,1,1,0,both,1,0
312,0.611485408,1,0,0,0,1,none,0,0
313,-3.021475815,0,0,0,0,1,none,1,1
314,1.386465789,1,1,0,0,1,none,1,0
315,-1.386088748,1,0,0,0,0,none,2,0
316,-3.045799409,0,1,0,1,0,none,2,0
317,1.465340452,1,0,1,0,0,both,0,2
318,1.46209546,1,1,1,1,0,right,1,0
319,1.629597098,1,1,1,1,0,right,1,0
320,0.506883784,0,1,1,1,1,left,0,1
321,3.019339621,1,1,1,0,1,right,2,2
322,-0.368043082,0,1,1,1,1,left,0,1
323,2.597423884,0,0,1,1,0,right,2,2
324,0.487957403,0,1,1,0,0,both,1,0
325,-1.851015936,0,0,0,1,1,none,2,0
326,1.521938654,1,0,1,0,0,both,2,2
327,2.150308621,1,0,0,1,1,none,1,0
328,-1.419799181,0,1,0,0,1,none,0,0
329,-2.895860491,1,1,0,1,0,none,0,0
330,-0.23322117,1,1,1,0,1,both,0,1
331,-0.776725003,1,0,0,1,0,none,2,0
332,-0.147491489,0,1,0,0,1,none,2,0
333,2.885826521,0,1,1,0,1,left,2,0
334,2.156129698,1,1,0,1,1,none,0,0
335,-1.932539031,1,1,0,1,1,none,0,0
336,0.296744614,1,1,1,1,0,both,2,2
337,1.957183081,1,1,1,0,0,left,1,1
338,2.725358672,0,1,0,1,1,none,1,0
339,-2.528516156,0,0,0,0,0,none,0,1
340,1.557852557,0,0,1,1,0,left,0,1
341,2.883137947,0,0,0,0,0,none,0,2
342,2.791982752,1,0,1,0,1,both,2,2
343,0.972578075,1,1,1,1,1,right,0,2
344,-2.549967747,0,1,1,0,1,right,0,2
345,0.248177504,1,0,1,0,0,both,0,2
346,0.110084416,0,1,1,0,0,left,2,0
347,-1.27977237,0,1,1,0,1,right,0,2
348,0.07349126,0,1,1,1,0,left,1,1
349,-1.245188076,1,1,0,0,0,none,0,0
350,0.483152093,0,1,1,1,1,left,0,1
351,0.890401981,1,1,1,0,0,left,2,0
352,0.324536394,1,0,1,1,1,left,0,1
353,-2.259709062,1,1,1,1,1,both,0,1
354,-1.902154773,0,0,1,1,1,left,2,0
355,1.022001127,1,1,1,0,1,right,1,0
356,1.433295203,0,1,1,1,0,both,0,2
357,-0.270700552,1,1,1,1,0,both,0,1
358,-0.697396655,1,1,0,1,0,none,1,0
359,-2.893135476,0,0,0,0,1,none,0,1
360,1.82391628,1,1,1,1,1,left,1,1
361,0.734559469,0,0,0,0,1,none,0,0
362,1.912901068,0,1,0,0,1,none,1,0
363,0.075715178,1,0,0,1,0,none,0,0
364,-0.898995109,1,1,0,1,1,none,1,0
365,2.050070482,1,0,1,1,1,left,1,1
366,-1.288296742,0,0,1,0,1,left,2,0
367,-3.020815726,0,1,0,1,0,none,0,0
368,-2.353105479,0,1,0,0,0,none,1,0
369,2.92222197,1,0,1,0,1,left,1,1
370,-0.094016974,0,1,1,0,1,right,2,2
371,-2.32856223,0,0,0,0,1,none,2,0
372,1.937919068,1,0,1,1,0,both,2,2
373,-0.007542021,0,0,1,1,1,right,2,2
374,-0.652534932,1,1,1,0,0,both,1,1
375,-0.490623123,1,1,1,1,0,right,1,0
376,0.2870227,0,1,1,1,0,both,1,0
377,-0.48423859,1,0,1,1,0,right,0,2
378,1.9733661,1,1,1,0,1,left,2,0
379,-1.580785163,0,0,0,0,1,none,1,1
380,-0.311347154,0,1,0,0,0,none,2,0
381,2.501668604,0,1,1,0,1,right,2,2
382,-2.253062226,0,0,0,1,0,none,2,0
383,-0.555799278,1,1,0,0,0,none,2,0
384,0.098810598,1,1,1,1,1,right,0,2
385,1.013126085,1,0,1,0,1,right,2,2
386,-2.617800301,1,0,1,1,0,both,1,1
387,-1.377716181,0,1,0,1,1,none,0,0
388,-2.027422605,0,0,1,0,0,both,2,0
389,-2.905458517,1,0,0,0,1,none,0,0
390,2.096516295,1,0,1,0,1,both,1,0
391,-0.487569745,1,0,0,0,0,none,1,0
392,0.354456936,0,1,0,1,0,none,2,0
393,2.829038366,0,1,0,1,1,none,0,0
394,2.745674323,1,1,0,1,1,none,2,0
395,-2.614961793,0,0,0,1,1,none,0,1
396,0.25233775,1,0,0,0,1,none,1,0
397,-1.38536788,0,1,1,0,1,both,1,1
398,0.87603525,0,0,1,1,1,right,1,0
399,1.547314364,1,0,1,1,0,both,2,2
400,1.167962873,1,0,1,0,1,right,0,2
401,-0.883212144,0,1,0,1,1,none,2,0
402,-0.625228694,0,1,0,1,1,none,0,0
403,3.017512838,0,0,1,1,0,left,2,0
404,-2.521042333,0,1,0,1,1,none,2,0
405,3.113955145,0,1,1,0,0,both,1,0
406,-0.968699799,1,1,1,0,0,left,1,1
407,-0.885912245,0,0,1,1,0,both,1,1
408,1.038698361,0,0,0,0,0,none,0,2
409,1.77832764,0,0,1,1,0,right,0,2
410,-1.365373768,0,1,0,0,0,none,2,0
411,-2.177893602,0,1,0,0,0,none,0,0
412,-1.163197779,0,1,0,0,1,none,1,0
413,0.757780997,0,1,0,1,0,none,2,0
414,-1.715363518,1,0,0,0,1,none,1,0
415,-0.233137845,1,0,1,0,1,both,1,1
416,-0.145209018,0,0,1,0,1,both,2,0
417,-1.015716825,0,0,0,1,0,none,0,1
418,-3.110167404,0,1,1,1,1,both,2,0
419,2.270262505,1,1,0,0,1,none,0,0
420,2.606246925,0,0,0,0,0,none,0,2
421,0.928632416,0,0,1,1,0,left,0,1
422,2.585680509,0,0,0,1,0,none,2,0
423,-1.327692044,0,1,1,0,1,left,2,0
424,-2.927723192,0,1,0,1,0,none,0,0
425,2.449499262,1,0,1,0,0,left,0,1
426,-1.238330002,1,0,1,0,0,both,1,1
427,-0.316080242,1,0,1,1,0,right,2,2
428,-2.062245986,0,0,1,0,1,left,1,1
429,-2.909022659,1,1,0,0,0,none,2,0
430,-0.934034719,0,0,0,0,0,none,0,1
431,2.411028985,1,0,0,0,1,none,1,0
432,-3.105600606,0,0,1,1,1,left,1,1
433,-0.295971127,1,1,0,1,1,none,1,0
434,2.033230707,0,1,0,0,1,none,1,0
435,1.164987474,0,1,1,1,1,both,2,2
436,-0.3809049,1,0,1,1,1,right,2,2
437,1.792710639,1,1,0,1,1,none,1,0
438,-1.427668844,1,1,1,0,0,right,2,2
439,0.933614883,1,0,0,1,0,none,2,0
440,0.962398685,0,0,0,0,0,none,1,0
441,1.587819827,1,0,1,0,1,both,1,0
442,1.111280043,1,0,1,0,1,both,1,0
443,0.604915777,1,0,1,1,0,both,0,2
444,-1.438199408,1,0,0,0,1,none,2,0
445,-0.781740133,0,1,1,0,1,both,0,1
446,1.386763046,1,0,1,0,1,left,0,1
447,-0.187272437,1,0,0,1,0,none,0,0
448,-0.324230447,0,0,1,1,0,both,1,1
449,2.210754889,0,0,0,0,1,none,1,0
450,-0.60887004,1,0,1,1,1,both,0,1
451,-1.680992969,1,1,1,0,1,right,2,2
452,-1.124780683,1,1,0,1,0,none,2,0
453,-1.837085583,1,0,1,0,1,left,1,1
454,0.782607185,0,0,1,0,0,right,2,2
455,-1.562020525,0,0,1,1,1,left,0,1
456,-0.616748126,0,1,0,0,0,none,1,0
457,2.455244584,1,1,1,1,0,left,2,0
458,-2.495543591,1,1,1,1,1,left,0,1
459,-1.778310029,1,1,0,0,0,none,1,0
460,-2.312329176,1,1,1,0,0,both,1,1
461,1.200007207,0,1,0,0,0,none,2,2
462,0.22688114,1,1,1,0,0,left,1,1
463,-1.084178237,1,1,0,1,0,none,2,0
464,-1.458905111,1,0,0,0,0,none,2,0
465,-0.03875663,0,0,0,0,1,none,1,0
466,-2.503628477,1,0,1,0,1,both,1,1
467,2.110181817,1,0,0,1,0,none,1,0
468,1.368321446,1,0,0,1,0,none,1,0
469,-1.314512441,1,0,0,0,0,none,0,0
470,2.383702053,1,0,0,1,0,none,2,0
471,-2.799273644,1,1,1,1,0,left,0,1
472,-0.874063594,0,1,1,0,1,right,1,0
473,0.811146583,0,0,1,0,0,left,0,1
474,-1.667642229,1,0,0,1,1,none,0,0
475,1.813867097,1,1,0,1,0,none,2,0
476,-1.329079161,0,1,1,0,0,both,1,1
477,-2.977377855,1,0,1,1,1,right,1,0
478,0.471678151,1,1,0,1,0,none,0,0
479,-1.455847287,0,1,0,0,0,none,1,0
480,-0.461269756,0,0,1,0,1,left,0,1
481,-2.899565684,1,1,0,1,0,none,1,0
482,0.494430038,0,0,1,1,0,both,2,2
483,-0.67774189,1,1,0,1,1,none,0,0
484,-1.070811968,0,0,0,1,1,none,1,1
485,2.162317507,1,1,0,0,1,none,2,0
486,-2.256505695,1,1,0,1,0,none,1,0
487,2.632019449,1,1,1,1,0,right,0,2
488,1.523792081,0,0,1,0,0,both,2,2
489,1.316692492,1,1,1,1,1,left,0,1
490,0.429263018,0,1,0,0,0,none,1,0
491,0.890757779,1,1,0,1,0,none,0,0
492,-0.86745153,0,1,1,0,1,left,0,1
493,-0.416084702,1,0,0,0,0,none,0,0
494,0.159385354,0,1,0,0,1,none,2,0
495,-2.749269091,0,0,1,1,0,both,2,0
496,-0.115549385,0,0,0,1,1,none,1,0
497,-1.109808512,1,0,1,1,0,left,1,1
498,-0.172314051,1,1,1,1,1,both,2,0
499,2.329451817,0,1,0,0,1,none,0,0
500,0.901398478,1,0,0,1,1,none,0,0
501,2.381600385,1,1,1,1,0,right,1,0
502,2.653535069,0,1,1,1,0,left,0,1
503,-2.990286213,1,0,0,0,1,none,2,0
504,0.566713525,0,0,0,0,1,none,1,0
505,2.144314294,1,1,0,0,1,none,1,0
506,-0.800779054,0,1,1,1,0,left,0,1
507,1.560327864,1,1,1,0,1,left,0,1
508,0.878897545,0,0,0,1,0,none,1,0
509,-2.155443299,1,0,0,0,0,none,2,0
510,-2.504602895,0,1,1,1,0,right,1,0
511,0.156343982,0,0,1,1,0,left,1,1
512,-2.05985114,1,0,1,0,0,right,1,0
513,1.109507772,0,0,0,1,1,none,1,0
514,-0.79699582,1,0,0,1,1,none,2,0
515,0.132677231,1,1,0,1,1,none,2,0
516,-0.217867333,1,1,1,1,0,left,2,0
517,-1.093672582,1,0,1,0,1,both,2,0
518,1.184801947,0,0,0,0,0,none,2,2
519,1.865388661,1,1,0,0,1,none,0,0
520,-2.7150587,1,0,0,1,1,none,0,0
521,2.233301979,0,0,1,1,0,both,0,2
522,-2.571205489,0,0,0,1,1,none,1,1
523,0.958700293,0,0,0,1,0,none,1,0
524,-0.80265198,0,1,1,0,1,both,0,1
525,-2.893708206,0,0,1,1,1,right,1,0
526,2.153829748,1,0,1,0,0,both,1,0
527,-0.260531604,1,0,0,1,1,none,2,0
528,1.032772717,1,1,1,0,1,both,0,2
529,-1.589543761,0,1,0,1,1,none,2,0
530,-1.897648068,0,0,0,1,0,none,0,1
531,-1.976703435,0,0,1,1,1,left,1,1
532,1.555496058,0,1,0,1,1,none,2,0
533,2.322709124,0,1,0,1,1,none,2,0
534,2.850168699,1,0,1,0,1,right,1,0
535,-1.69769291,0,1,0,1,0,none,0,0
536,2.483686863,0,1,0,1,0,none,2,0
537,1.716712364,0,1,0,0,0,none,0,2
538,-1.198738142,0,1,1,1,0,both,0,1
539,1.052446626,0,1,0,0,1,none,1,0
540,2.62521649,1,0,0,0,1,none,2,0
541,0.101777049,0,1,0,0,0,none,2,0
542,-1.050041963,1,0,0,1,0,none,1,0
543,-2.917656038,0,0,1,1,0,right,2,2
544,2.14643997,0,0,0,1,0,none,1,0
545,2.941736169,1,1,1,0,1,right,0,2
546,2.92939336,0,1,1,0,0,left,1,1
547,1.400881952,1,0,1,1,0,right,1,0
548,-2.129826974,0,0,1,1,0,left,1,1
549,-2.091114637,0,0,1,1,0,right,1,0
550,-2.158554212,1,1,0,1,0,none,2,0
551,-2.290896839,0,1,0,1,1,none,2,0
552,0.390642772,1,1,0,0,1,none,1,0
553,0.668487554,1,1,1,1,0,left,1,1
554,2.996780723,1,0,0,0,1,none,1,0
555,0.02695178,1,1,1,1,1,right,1,0
556,-0.833835078,1,0,0,0,0,none,1,0
557,0.483177984,1,1,1,0,0,left,2,0
558,-2.207944828,1,0,0,1,1,none,0,0
559,-2.657333457,1,0,1,0,0,left,2,0
560,-1.626249162,0,1,0,1,1,none,0,0
561,2.812731226,1,0,0,1,1,none,0,0
562,1.322118811,1,0,0,0,1,none,2,0
563,1.860437374,1,1,0,0,1,none,0,0
564,-0.851307362,0,0,0,0,1,none,0,1
565,1.665192388,1,1,0,0,0,none,0,2
566,1.923508051,1,0,0,1,0,none,1,0
